BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
16,16,100,0.3,0.3,80,False,True,0.1,-2051.55,-2154.6,-2062.646833773087,-25.644374999999997,-26.932499999999997,-25.783085422163587,False
16,16,100,0.9,0.3,80,False,True,0.1,-2080.35,-2161.5,-2087.803298153034,-26.004375000000003,-27.01875,-26.097541226912927,False
16,16,100,0.3,0.5,80,False,True,0.1,-2049.0,-2153.4,-2061.7858179419527,-25.6125,-26.9175,-25.772322724274403,False
16,16,100,0.9,0.5,80,False,True,0.1,-2083.35,-2166.75,-2088.750890501319,-26.041874999999997,-27.084375,-26.10938613126649,False
16,16,200,0.3,0.3,80,False,True,0.1,-2043.9,-2146.05,-2048.188328912467,-25.548749999999995,-26.825624999999995,-25.602354111405834,False
16,16,200,0.9,0.3,80,False,True,0.1,-2082.3,-2161.05,-2085.2681697612734,-26.028749999999995,-27.013125000000002,-26.06585212201591,False
16,16,200,0.3,0.5,80,False,True,0.1,-2035.2,-2149.5,-2040.1751160477452,-25.439999999999998,-26.86875,-25.502188950596814,False
16,16,200,0.9,0.5,80,False,True,0.1,-2076.15,-2165.1,-2079.5951757294433,-25.951874999999994,-27.06375,-25.994939696618037,False
16,32,100,0.3,0.3,80,False,True,0.1,-2039.4,-2154.75,-2050.4377873563217,-25.4925,-26.934375,-25.63047234195402,False
16,32,100,0.9,0.3,80,False,True,0.1,-2078.25,-2170.65,-2084.271695402299,-25.978125,-27.133125,-26.053396192528737,False
16,32,100,0.3,0.5,80,False,True,0.1,-2037.0,-2156.55,-2048.6993295019156,-25.462500000000002,-26.956875000000004,-25.60874161877395,False
16,32,100,0.9,0.5,80,False,True,0.1,-2070.45,-2172.0,-2076.12811302682,-25.880625000000002,-27.15,-25.95160141283525,False
16,32,200,0.3,0.3,80,False,True,0.1,-2035.2,-2147.85,-2039.452471116816,-25.44,-26.848125000000003,-25.49315588896021,False
16,32,200,0.9,0.3,80,False,True,0.1,-2076.6,-2167.2,-2079.6076299743263,-25.957499999999992,-27.090000000000003,-25.995095374679067,False
16,32,200,0.3,0.5,80,False,True,0.1,-2030.4,-2148.6,-2035.313414634146,-25.379999999999992,-26.857499999999998,-25.44141768292683,False
16,32,200,0.9,0.5,80,False,True,0.1,-2070.75,-2167.8,-2074.11830872914,-25.884375,-27.097499999999997,-25.926478859114248,False
